breed,country_origin,fur_color,eye_colors,character_traits,common_health_problems,min_height,max_height,min_longevity,max_longevity
Labrador Retriever,Canada,"Yellow, Black, Chocolate",Brown,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections",21,24,10,12
German Shepherd,Germany,"Black, Tan",Brown,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis",22,26,7,10
Bulldog,England,"White, Red",Brown,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity",12,16,8,10
Poodle,France,"White, Black, Brown, Apricot","Brown, Blue","Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones",10,15,12,15
Beagle,England,"White, Tan, Red, Lemon",Brown,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy",13,15,12,15
Chihuahua,Mexico,"Black, Brown, Tan, White","Brown, Blue","Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues",6,9,12,20
Boxer,Germany,"Fawn, Brindle",Brown,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions",21,25,10,12
Golden Retriever,Scotland,Golden,Brown,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies",21,24,10,12
Pug,China,"Fawn, Black",Brown,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity",10,14,12,15
Rottweiler,Germany,"Black, Tan",Brown,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia",22,27,8,10
Siberian Husky,Russia,"Black, White",Blue,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy",21,24,12,15
Dachshund,Germany,"Black, Tan","Brown, Blue","Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes",5,9,12,15
Shih Tzu,China,"Black, White, Brown",Brown,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems",9,10,10,16
Bichon Frise,France,White,Brown,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones",9,11,12,15
Australian Shepherd,Australia,"Black, Red","Brown, Blue","Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy",18,23,12,15
Basset Hound,France,"Black, Tan",Brown,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity",11,15,10,12
Cocker Spaniel,England,"Black, Brown",Brown,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems",14,15,12,15
French Bulldog,France,"White, Black, Brindle",Brown,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia",11,12,10,12
Pomeranian,Germany,"Orange, Sable, Black",Brown,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity",6,7,12,16
Great Dane,Germany,"Black, Blue, Fawn, Harlequin",Brown,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions",28,34,8,10
Mastiff,England,"Apricot, Fawn",Brown,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer",30,34,8,10
Newfoundland,Canada,"Black, Brown, Grey",Brown,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer",26,28,9,11
Saint Bernard,Switzerland,"Red, White",Brown,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions",26,30,8,10
Old English Sheepdog,England,"Blue, Grey",Brown,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies",22,26,10,12
Irish Wolfhound,Ireland,"Grey, Red, Black",Brown,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer",30,35,6,8
